classification_2019,classification_2020,classification_2021,es_espurio,temperature_2m,total_precipitation_sum
19,19,19,0,296.352501086474,0.06058307068886274
3,3,19,0,296.14090036342435,0.06256775510650787
3,3,3,0,296.2240907206532,0.0590818358197005
4,4,4,0,296.01777485911043,0.0654905197753699
3,3,3,0,295.8304949869917,0.06151896419467443
19,19,19,0,295.51788797619184,0.06493367828271701
3,3,3,0,295.4916598710486,0.06663253731868579
3,3,3,0,296.2149440350857,0.06528349297585005
3,3,4,0,295.7411555813028,0.06098082614284669
19,19,19,0,296.39675526080293,0.05548217472773705
19,19,19,0,295.92508291622977,0.06568019044738922
19,15,15,0,295.82051239135274,0.06284780132116789
15,15,15,0,295.8395876398626,0.06165585867903545
19,19,19,0,295.92508291622977,0.06568019044738922
4,3,3,0,296.23104397324033,0.06413080992640967
3,3,3,0,295.6872735904703,0.06407714587789688
19,19,19,0,296.22604518489123,0.06054741221012586
3,3,3,0,295.4267408363094,0.07075663360299582
19,19,19,0,296.2910396180262,0.05908161106051916
19,19,19,0,295.95242929743273,0.06258557937882259
